curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7257109004739336,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23'],87,26,50
23,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
24,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
25,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
26,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
27,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
28,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
29,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
30,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
31,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
32,0.7280805687203792,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H1PF24', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],15,66,32
33,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
34,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
35,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
36,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
37,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
38,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
39,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
40,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
41,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
42,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
43,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
44,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
45,0.7298578199052133,['H1GH20', 'H2WP5', 'H1DS9', 'H2PF12', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'H1ED15', 'H1PF34', 'H2FS15', 'H1DS13', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6', 'H2ED11', 'H1WP4', 'H1TO3', 'H1PF10', 'H2GH26', 'H2GH22', 'S60M', 'H1PF24', 'H2FS11', 'H1PF36', 'H1ED2', 'H1WP3', 'H2PF15', 'H1GH19', 'H1GH28', 'H1GH29', 'H1FS19', 'H2FS3', 'H1DS15', 'H2GH31', 'H2ED12', 'H2FV2', 'H2ED3', 'H1ED18', 'H1RM14', 'H1FS8', 'H2DS2', 'H1FS14', 'H1FS18', 'H2PF29', 'H2FS6', 'H2EE12', 'S60K', 'H2FS1', 'H1FS17', 'H2DS8', 'H1TO9', 'H2DS5', 'H1ED15', 'S59E'],16,66,32
