curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
112,0.7298578199052133,['H2DS1', 'H1EE5', 'H2TO25', 'H2FS3', 'H1TS3', 'H2FS16', 'H1FS10', 'H2FS15', 'H2WP2', 'H2GH22', 'H1FS13', 'H1GH18', 'H2FS11', 'H1WP2', 'H2FS17', 'H2FS10', 'H2GH30', 'S45C', 'H2FS4', 'H1EE7', 'H2TO15', 'H1FS2', 'H1DS8', 'H1ED20', 'H2DS6', 'H2PF22', 'H2PF15', 'H2DS9', 'H1PF14', 'H2TO11', 'H2WP3', 'H1TO3', 'H1FS8', 'H1ED24', 'H1WP3', 'H2DS7', 'H2GH25', 'H2DS2', 'H2PR4', 'H2PF10', 'H2FS5', 'H1ED19', 'H1TO3', 'H1GH22', 'H2PF8', 'H1DA6', 'H2WP5', 'H2DS12', 'H2FV5', 'H1WP10', 'H1TO9', 'H1PF4', 'S62P', 'H2FS12', 'H1PF16', 'S62E', 'H2DS6', 'S45A', 'H2WP14', 'H2EE12'],15,67,8
113,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
114,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
115,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
116,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
117,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
118,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
119,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
120,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
121,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
122,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
123,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
124,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
125,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
126,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
127,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
128,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
129,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
130,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
131,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
132,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
133,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
134,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
135,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
136,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
137,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
138,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
139,0.7304502369668247,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2GH26', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF36', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H2GH22', 'H1FS17', 'H1ED9', 'H2DS8', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15'],11,22,25
