curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
176,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
177,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
178,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
179,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
180,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
181,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
182,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
183,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
184,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
185,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
186,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
187,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
188,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
189,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
190,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
191,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
192,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
193,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
194,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
195,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
196,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
197,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
198,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
199,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
200,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
201,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
